Topic ID,Argument ID,Discussion ID,Premise,Relevance,Is Argument?,Rhetorical Quality,Logical Quality,Dialectical Quality,Text Length,Stance,Combined Quality
1,2,29832,"According to Heather Boushey, Executive Director and Chief Economist at the Washington Center for Equitable Growth, raising the minimum wage is an important anti-poverty measure. A person earning the current minimum wage and working a 40-hour week makes $15,080 per year, which is barely above the poverty line for a single adult and is well below it for someone supporting children. The most recent proposal to increase the federal minimum wage would have raised it to $10.10 per hour, though it didn""t pass. More than half of the states (including the District of Columbia) already have higher minimum wages than the federal minimum wage. The District of Columbia is currently the highest at $10.50/hour. There has been discussion lately about increasing the federal minimum wage to $15 per hour, which would bring a family relying on a single wage-earner above the poverty line. Minimum wage laws in the states as of January 1, 2016 so therefore, it should not be increased",-0.446654263,TRUE,-0.655064971,0.569558884,0.935228787,161,TRUE,0.344231705
1,1,37069,"Increasing the federal minimum wage from $7.25 per hour to $10.10 per hour will mostly benefit the U.S. Economy. This will be my position in this debate. (I will also be arguing that the federal minimum wage should be indexed to inflation, to keep up with the rising cost of living--a point which my opponent can either choose to refute or ignore.) Con will argue that raising the federal minimum wage will either have no benefit for anyone or will hurt the U.S. economy. I will use numerous reliable sources to show that an increase in the federal minimum wage will grow national GDP by tens of billions of dollars and create hundreds of thousands of jobs. But there are other numerous benefits to raising the minimum which I will demonstrate. I expect Con to use resources to demonstrate that a raise will either have zero impact or will overall negatively hurt the U.S. Economy. First Round is for acceptance only. Good luck! (Disclaimer: for this debate the use of the comments section to post working links that appear dead in the actual debate will be allowed. Neither debater can use the comments section to extend the debate. The comments section shall be used only for non-scored comments and to post working links to sources that are inactive in the actual debate.)",-0.446654263,TRUE,-0.536873134,0.99133381,1.576957547,222,TRUE,0.817718808
1,1,11975,"Increasing the federal minimum wage from $7.25 per hour to $10.10 per hour will mostly benefit the U.S. Economy. This will be my position in this debate. Con will argue that raising the federal minimum wage will either have no benefit for anyone or will hurt the U.S. economy. I will use numerous reliable, reputable sources to show that an increase in the federal minimum wage will grow national GDP by tens of billions of dollars and create hundreds of thousands of jobs. There are also other benefits to raising the minimum which I will demonstrate. I expect Con to use resources to demonstrate that a raise will either have zero impact or will negatively hurt the U.S. Economy. First Round is for acceptance only. Good luck!",-0.446654263,TRUE,0.013220751,0.562327448,0.216522874,127,TRUE,0.298827493
1,2,38713,"First off, you question whether "" the only factor effecting unemployment is the finances of those employing the workforce"" is true. Economics 101 would support that it is true in most if not all cases. Your statement ""raising the federal minimum wage may work to incentivize people who have previously relied on welfare to seek employment. "" seems more an indictment of welfare than a cogent argument for raising minimum wage. Here is another opinion (with a citation) From : ""Beginning in 2008, the United States economy entered a recession. Yet, at a time when many companies found it necessary to cut labor costs, the minimum wage increased. Faced with the limited choices of ( remaining in business) or laying off workers, the minimum wage workers were the ones to suffer by being laid off, according to Forbes.com. In 2004, three states that had higher minimum wage laws than were required---Alaska, Washington and Oregon---were among the five states with the highest unemployment, according to an Economic Policy Institute article by Jeff Chapman. "" To clarify, I would support keeping the minimum where it is, but making it beneficial for companies to give ""merit' or ""service"" increases. In other words, keep minimum wage as a STARTING wage, but give increases based on performance. This would be much better than a blanket raising of the wage for workers, some of whom are more of a liability than an asset. On a personal note, I once worked for a Fortune 500 corporation that paid minimum wage plus commission on sales. Those that sold did well. Those that did not produce usually left for another job. Raising the minimum would not have changed anything at all.",-0.133873234,TRUE,0.046583432,-0.596199104,0.2198797,282,TRUE,-0.130218608
1,3,33824,"While I believe that everyone in America stands by the right for individuals to earn a ""living wage,"" increasing the federally mandated minimum wage to 15 dollars an hour is not an effective or sustainable way to help Americans support themselves and their families. Based on position statements on the Marco Rubio website, Rubio and other conservative Republicans indicate that increasing minimum wage through federal law would be seriously detrimental to small businesses across the country who would not be able to sustain the increase - and therefore risk going out of business. If that happens, unemployment would soar and the very people who were meant to benefit from the minimum wage increase would find themselves in a much worse financial situation, as a result. The logic that increasing the take home income of Americans will put money right back into the economy is fundamentally flawed based on the fact that it takes significant amounts of time for that money to trickle back up to the businesses that are supposedly sustaining the growth through payroll. Instead, I would argue that Marco Rubio's top-down approach - in which tax cuts for businesses, along with smarter economic policies, would help to create jobs that pay more. Historically, minimum wage laws have not helped the middle class attain more prosperity; they simply deplete small business' ability to sustain economic and fiscal growth.",-0.133873234,TRUE,-0.399773203,-0.764425157,0.602791652,229,FALSE,-0.207218484
1,1,38713,"The current Federal Minimum wage if raised would increase unemployment, increase overall costs, and cause a negative ripple through the economy. Many states have their own minimum wage laws which are higher now. I say leave the federal minimum where it is. If individual states want to raise their rate, that is their decision. But the federal minimum must not be raised.",0.178907796,TRUE,-0.624447999,0.405015294,0.656273318,62,TRUE,0.176220575
1,5,12533,"The minimum wage should not be raised because: 1) Price-Demand chart shows that when the price of a good or service increases, consumers will demand less of it. In this case, laborers offering to sell their labor to an employer now must be worth at least the mandated minimum to the employer otherwise the employee is now unemployable and will not be able to work the job even if he would have done so for less than the mandated minimum. Raising the minimum wage increases unemployment for unskilled workers, just as raising height requirements decreases the amount of short passengers for a roller-coaster. 2) The current minimum wage is in fact ""livable"", as by the criteria of ""livable"", nobody working at the current minimum wage could do so if it were not. Since the minimum wage is in fact already ""livable"", then the minimum wage has already achieved what it is set out to achieve and thus, does not need to be raised any further. 3) Only roughly 4% of the labor force actually works at the mandated minimum wage. And out of that 4%, 50% are under the age of 25. [1] People who are this young tend to be dependent on other members of their families and so there is no reason to be raising the ""livable"" wage for those which are not dependent on the wage itself being ""livable"". 4) Since only 2% of workers could be said to be dependent on the minimum wage, and the minimum wage is federal policy which is contingent on the current political atmosphere and not sound economic policy, other methods besides the minimum wage should be pursued to better the lives of that 2%. [1]",-0.133873234,TRUE,0.93954541,1.241593406,1.462857601,285,FALSE,1.400028633
1,1,1602,"First round is for acceptance. I shall define the resolution: Minimum wage: A wage set by State (or in this case) Federal government which states that no employer can pay below X amount of money per hour to a specific employee. Increase: 10% increase or more Adverse: Negative, decreased employment, etc. Employment: Having paid work ==> If you need further clarification or want a specific definition changed, say so in the comments ==> This debate is about the current US system ==> Note this is NOT about abolishing the minimum wage ==> NO semantics, and treat this debate seriously Good luck!",-0.446654263,TRUE,-0.146156682,-1.124578297,-0.276527946,101,TRUE,-0.596288429
1,3,43000,"Our inflation rate is very low as stated in this article, because the Federal Reserve is pumping trillions of dollars into our economy. You never really give a statistic saying how inflation is high. All you say is that we need to increase the minimum wage to keep up with inflation which is not clear. This evidence that I have stated here claims that inflation is low, and will stay low. Minimum Wage will have no impact on poverty: 2% of Americans are paid minimum wage which is an extremely insignificant number. People cannot act like the minimum wage actually has an impact on the economy. It is just the start pay for a job. Also, you never explain the link between the minimum wage and inflation. Especially, since only 2% of American are paid minimum wage, than how does your link really work in the circumstances of the status quo, You also have not disputed the harms of raising the minimum wage. It is almost certain that if you raise the minimum wage, there will be jobs lost. Here are the numbers: 25 cent raise=30,000 to 50,000 jobs lost. 10% increase=160,000 jobs 2003-Minimum wage=$5.15 2007 Minimum Wage=$5.85 These increases lost jobs, and had no impact on poverty. Con must answer these questions in the next round: How are you going to handle a job loss that is over 160,000 jobs?(Especially with a congress split on what to do in such a situation)? Explain the link between inflation and the minimum wage. Under the circumstance(2% of Americans get paid the minimum wage), how are you even going to raise the minimum wage with inflation already controlled? Thank you again for accepting the debate.",-0.133873234,TRUE,-0.041378404,-0.111625962,1.526625503,283,TRUE,0.552234505
1,3,18018,"My opponent claims that those working on a minimum wage deserves an increased pay. But why so? What my opponent has failed to realize is that a simple increase of one dollar causes an increase of about 1.327 million dollars (per hour) for the US as a whole. Now let's be realistic. The US has a debt nearly the size of its GDP. The US is using basically stealing money from its citizens as it uses money from social security already piled up. Do you really and honestly think that we can afford increasing spending on minimum wage? Frankly, no. Even though it may be beneficial towards those working on minimum wage, as a whole, it would greatly impact the US. Furthermore, if so many people are working on minimum wage, the most effective way to better the income issue would be to increase the education of individuals, therefore increasing the amount of opportunities coming their way. Instead of using whatever insufficient, excess money that the US has on increasing minimum wage, why not better the public infrastructure? When increasing public infrastructure, it allows individuals to have better access to education (for example schools and libraries), ultimately increasing the capability of citizens in the US. Obviously, once public infrastructure is bettered and mean tested welfare programs are back and running, we cannot allow for there to be any leeway for the increasing of minimum wage. Maybe, when the US gets it debt substantially lower than its GDP, then there may be a chance for minimum wage to be increased. Even then, it would most likely be better not to increase minimum wage annually but maybe every couple of years. But until then, no course of action should be taken.",-0.290263748,TRUE,-0.128496218,0.432353908,1.598852735,289,FALSE,0.753152843
